playerId,year,league,award,value,split
Bdd,2025,LCK,EDITORIAL,2,NONE
Cuzz,2025,LCK,EDITORIAL,1,NONE
PerfecT,2025,LCK,EDITORIAL,-1,NONE
Viper (Park Do-hyeon),2022,LPL,EDITORIAL,2,NONE
Scout,2022,LPL,EDITORIAL,1,NONE
Flandre,2022,LPL,EDITORIAL,-1,NONE
Viper (Park Do-hyeon),2025,LCK,EDITORIAL,2,NONE
Zeka (Kim Geon-woo),2025,LCK,EDITORIAL,1,NONE
Peanut,2025,LCK,EDITORIAL,-1,NONE
Elyoya,2024,LEC,EDITORIAL,2,NONE
Supa,2024,LEC,EDITORIAL,1,NONE
Fresskowy,2024,LEC,EDITORIAL,-1,NONE
Elyoya,2025,LEC,EDITORIAL,2,NONE
Supa,2025,LEC,EDITORIAL,1,NONE
Jojopyun,2025,LEC,EDITORIAL,-1,NONE
Contractz,2023,LCS,EDITORIAL,2,NONE
Palafox,2023,LCS,EDITORIAL,1,NONE
Dhokla,2023,LCS,EDITORIAL,-1,NONE
Inspired,2025,LCS,EDITORIAL,2,NONE
Massu,2025,LCS,EDITORIAL,1,NONE
Gakgos,2025,LCS,EDITORIAL,-1,NONE
